Player,Season,PER,WS,BPM,VORP,Label
Kevin Durant,2012,26.2,12.2,7.0,5.8,0
Pau Gasol,2012,20.4,8.3,3.4,3.3,0
Rudy Gay,2012,17.8,6.0,1.9,2.4,0
Blake Griffin,2012,23.4,9.2,3.7,3.4,0
John Wall,2012,17.7,3.5,0.7,1.6,0
Marc Gasol,2012,18.4,8.2,3.1,3.1,0
Brandon Jennings,2012,18.4,5.5,2.7,2.8,0
Russell Westbrook,2012,22.9,7.9,3.0,3.0,0
Josh Smith,2012,21.1,6.8,3.8,3.3,0
LeBron James,2012,30.7,14.5,10.9,7.6,1
Kobe Bryant,2012,21.9,6.2,3.3,2.9,0
Wesley Matthews,2012,14.1,4.8,0.3,1.3,0
Andre Iguodala,2012,17.6,7.3,4.0,3.3,0
DeMar DeRozan,2012,12.8,2.5,-2.7,-0.4,0
Jrue Holiday,2012,14.7,4.2,0.4,1.3,0
Jeff Teague,2012,15.8,6.0,1.3,1.8,0
Chris Paul,2012,27.0,12.7,9.2,6.1,0
Mike Conley,2012,16.8,6.4,2.4,2.4,0
Tyreke Evans,2012,16.4,2.7,-0.6,0.8,0
Kris Humphries,2012,17.9,5.3,-0.9,0.6,0
Antawn Jamison,2012,16.1,3.1,-0.3,0.9,0
Kevin Love,2012,25.4,10.0,5.2,3.9,0
Brandon Knight,2012,11.7,1.3,-2.6,-0.3,0
Luol Deng,2012,14.1,5.8,1.7,2.0,0
Joe Johnson,2012,18.4,6.4,2.1,2.2,0
Ty Lawson,2012,19.4,6.9,3.2,2.8,0
David Lee,2012,19.7,5.0,-0.3,0.9,0
Monta Ellis,2012,17.5,2.6,-0.3,0.9,0
Marcin Gortat,2012,21.2,7.6,2.2,2.3,0
Andrew Bynum,2012,22.9,8.0,2.9,2.6,0
Paul Millsap,2012,21.8,7.8,3.9,3.1,0
Tayshaun Prince,2012,12.8,2.1,-1.5,0.3,0
Arron Afflalo,2012,14.7,5.3,0.1,1.1,0
Greg Monroe,2012,22.0,7.0,2.9,2.6,0
Dirk Nowitzki,2012,21.7,7.6,3.7,3.0,0
Gerald Wallace,2012,15.9,4.8,1.0,1.6,0
Gerald Wallace,2012,15.5,3.5,0.9,1.1,0
Al Jefferson,2012,22.8,7.5,3.7,3.0,0
Paul Pierce,2012,19.6,7.0,4.2,3.2,0
